sku;name;tags;images;description;categories;originalCategory;weight;length;width;height;brand;type;published;Visibility in catalog;is_featured
0B47462;SLIM THINKPAD 65W AC ADAPTER (SLIM TIP);;https://www.micropointsa.co.za/assets/images/products/midrand/original/0b47462.jpg;"<p><strong>SLIM THINKPAD 65W AC ADAPTER (SLIM TIP) - 0B47462&nbsp;</strong></p><p><strong>Brand&nbsp;</strong>: For Lenovo</p><p><span style=""background-color: initial;""><b>Connectivity:</b></span><strong>&nbsp;</strong>USB</p><p><strong>Technology&nbsp;</strong></p><p><strong>Connector Type:</strong> USB</p><p><strong>Compatible Devices:</strong> Laptops</p><p><strong>Compatible Phone Models:</strong> Idea pad</p><p><strong>Special&nbsp;</strong><b>Feature:</b>&nbsp;Short Circuit Protection</p><p><span style=""background-color: initial;""><b>Color:</b></span>&nbsp;Black</p><p><strong>Input Voltage:&nbsp;</strong>240 Volts</p><p><strong>Mounting Type:</strong> Wall Mount</p><p><strong>Amperage:</strong> 3.25 Amps</p><p><strong>Input Voltage:</strong> AC100-240V</p><p><strong>Output Voltage:</strong> 20V</p><p><strong>Output Current:</strong> 3.25A</p><p><strong>Total Output Power:</strong> 65W</p><p><strong>DC Pin Sizes:</strong> Square USB</p><p><strong>DAMAGED PACKAGING (BROWN BOX)</strong></p><p><br></p>";Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > ACCESSORIES;;;;;LENOVO;simple;1;visible;0
23IN1;ALL IN ONE USB 2.0 EXTERNAL CARD READER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/23in1.jpg;<strong> ALL IN ONE USB 2.0 EXTERNAL CARD READER- 23IN1</strong></p>  <strong> Support USB2.0</strong></p>  <p>Powered by USB connection cable</p>  <p>No external power required</p>  <p>LED light clew read and write state</p>  <p>Fully plug & play and Hot swapping support, high-speed data transfer</p>  <p>Conceit for carrying,antiseismic,high temperature resistance</p>  <strong> Support:Win98/me/2000/XP/MAC OS</strong></p>  <strong> Port: CF/SD/MS/XD/TF/MS</strong></p>;Computers Laptops & Electronics > Gadgets > Accessories;ANCILLARY ITEMS > ACCESSORIES;;;;;MICROWORLD;simple;1;visible;0
23IN1-1;CARD READER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/23in1-1.jpg;;Computers Laptops & Electronics > Gadgets > Accessories;ANCILLARY ITEMS > ACCESSORIES;;;;;MICROWORLD;simple;1;visible;0
2IN1LAN;USB3/TYPEC TO ETHERNET ADAPTER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/2in1lan.jpg;"<p><strong>USB3/TYPEC TO ETHERNET ADAPTER - 2IN1LAN</strong></p><p><strong>2 In1 USB 3.0 + Type C to Ethernet RJ45 LAN Adapter 100/1000Mbps - (GC)</strong></p><p>Aluminum Alloy Material Adapter Very High-Quality Ethernet RJ45 LAN Adapter 100/1000Mbps</p><p><strong>Specifications<br></strong></p><p><strong>Network Standards: IEEE 802,3, 802.3u, and 802.3ab</strong></p><p><strong>Date: Bus USB &amp;TYPE-C</strong></p><p><strong>LED Indicators: Link 1000Mbps</strong></p><p><strong>Power :</strong> Integrates On-Chip 3.3V to 2.5V Voltage Regulator and requires only Single Power</p><p><strong>Supply:3.3V</strong></p><p><strong>Network Interface:</strong> Female Rj45 Jack Supporting Auto MDIX</p><p><strong>Full Duplex:&nbsp;</strong>10BaseT. 100BaseTx, 1000BaseT</p><p><strong>Half Duplex:</strong> 10BaseT. 100BaseTx</p><p><strong>RAM:</strong> Embedded 20KB SRAM for RX Packet Buffering and 20KB SRAM for TX Packet Buffering</p><p><strong>Operation Temperature</strong> : 0 C to 70 C</p><p><strong>Operation System Support:</strong> Windows XP, VISTA, 7, 8, 10, MAC OS / Linux</p><p><strong>What's In The Box<br></strong></p><p><strong>1 x 2In1 USB 3.0 + Type-C to Ethernet RJ45 LAN Adapter 100/1000Mbps (GC)</strong></p><p><br></p><p><strong>&nbsp;</strong></p>";Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > USB TYPE C;;;;;MICROWORLD;simple;1;visible;0
2SIP;PCI: 2 SERIAL + 1 PARALLEL;;https://www.micropointsa.co.za/assets/images/products/midrand/original/2sip.jpg;"<p><strong>PCI: 2 SERIAL + 1 PARALLEL - 2SIP</strong></p><p><strong>Specifications</strong></p><p>Chipset 2 Serial Port PCI Card</p><p>Automatically Selects IRQ and I/O Address</p><p>Supports 32-Bit PCI Bus</p><p>Supports PCI IRQ Share</p><p>Chipset 2 Serial Port PCI Card</p><p><strong>Features</strong></p><p>Material PCB Version and sheet metal</p><p>Supports Windows 95, 98, ME, 2000, NT 4.0, XP, Vista, Linux &amp; DOS Operating System</p><p>Automatically Selects IRQ and I/O Address</p><p>Supports PCI IRQ Sharing; Saves Valuable Resources for other Expansion Cards</p><p>Supports 32-Bit PCI Bus</p><p><strong>Items Accessories:</strong> PCI Card with 2 Serial Ports &amp; 1 Parallel Port, CD Driver</p><p>User Manual</p><p><strong>With Package Weight</strong>:109g</p>";Computers Laptops & Electronics > Desktop Components > Expansion & Pcie Adapters > PCI Addon Cards;ADD-ON CARDS > PCI ADDON CARDS;;;;;MICROWORLD;simple;1;visible;0
2SIP-ELP;2 X SERIAL 1 X PARALLEL PCI-E 1X LP;;https://www.micropointsa.co.za/assets/images/products/midrand/original/2sip-elp.jpg;;Computers Laptops & Electronics > Desktop Components > Expansion & Pcie Adapters > PCI-E Cards;ADD-ON CARDS > PCI-E CARDS;;;;;MICROWORLD;simple;1;visible;0
3PINTO2-1;3 PIN TO ROUND 2 PIN ADAPTER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/3pinto2-1-2.jpg;;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > POWER CONVERTER;;;;;MICROWORLD;simple;1;visible;0
3PINTO3;3 PIN BIG TO 3 PIN SMALL ADAPTER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/3pinto3.jpg;;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > POWER CONVERTER;;;;;MICROWORLD;simple;1;visible;0
4PORT;PCMCIA: 4 PORT USB CARD;;https://www.micropointsa.co.za/assets/images/products/midrand/original/4port.jpg;"<p><strong>PCMCIA: 4 PORT USB CARD - 4PORT</strong></p><p><strong>Data Transfer Rate:</strong> USB1.1OHC1 1.5Mbps</p><p>12Mbps of USB2.0 EHC1 480Mbps</p><p>Support 32-bit CardBus Type II Slot</p><p>Fully backward-Compatible with USB1.1</p><p>Supports up to 127 Devices</p><p>Provide two External Type A USB Ports and an External DC Power Jack</p><p>Output Current per Port 500mA = (max)</p><p><strong>Support System</strong>: Windows 98, Windows 98SE/Windows ME/ Windows 2000/ Windows XP &amp; Windows NT</p><p><strong>System Requirements</strong></p><p>Pentium PC or Compatible PC</p><p>One available PC or Compatible PC</p><p>CD-ROM Drive or Internet Connection</p><p>Windows 98, Windows 98SE/Windows ME/ Windows2000/ Windows XP &amp; Windows NT</p><p><strong>&nbsp;</strong></p><p><br></p><p><br></p>";Computers Laptops & Electronics > Desktop Components > Expansion & Pcie Adapters > PCMCIA;ADD-ON CARDS > PCMCIA;;;;;MICROWORLD;simple;1;visible;0
4SIP-E;4 PORT SERIAL PCI-E CARD;;https://www.micropointsa.co.za/assets/images/products/midrand/original/4sip-e.jpg;"<p><strong>4 PORT SERIAL PCI-E CARD - 4SIP-E</strong></p><p><strong>Interface:</strong> PCIE 1x, 4x, 8x, 16x</p><p><strong>Usage:</strong> Tablet, PC</p><p><strong>Function:</strong> PCI-E Adapter</p><p><strong>OS Support:</strong> WinXP/2003/Vista/Win7/Win8/Win10 32bit/64bit Linux</p><p><strong>Features</strong></p><p>Compliant with PCI Express Base Specification 1.1.</p><p>Supports x1, x2, x4, x8, x16 (Lane) PCI Express Bus Connector Keys</p><p>Support 4 x UART Serial Ports</p><p>Built-in 16C550,16C552,16C554 Compatible UART</p><p>256-Bype deep Transmit/Receive FIFOs</p><p><strong>Data Transfer Rate Up To 230400bps</strong></p><p>Optional RS-232 signal or Power Output to Serial Device</p><p>Provides 5VDC or 12VDC Power Output via Pin 1</p><p>Provides 5VDC or 12VDC Power Output via Pin 9</p><p>Plug-n-Play, I/O address and IRQ assigned by BIOS</p><p><strong>System Requirement</strong></p><p>Windows98/98e/ME</p><p>Windows 32bit 2000/XP/2003 Server/Vista/7 &amp; Windows 64bit XP/2003 Server/Vista/7/8/10</p><p>Linux Kernel 2.4 &amp; 2.6</p><p>One available PCI Express Slot</p><p><strong>Package Contents</strong></p><p>1 x Powered RS-232 4-Port PCIe Card</p><p>1 x Driver CD</p><p>1 x User Manual</p><p>4 X LP BRACKETS</p><p><br></p><p><br></p><p><br></p><p><br></p>";Computers Laptops & Electronics > Desktop Components > Expansion & Pcie Adapters > PCI-E Cards;ADD-ON CARDS > PCI-E CARDS;;;;;MICROWORLD;simple;1;visible;0
